Sensor,Tilt,Displacement,Vibration,Status
S001,0.47,2.55,0.06,Normal
S002,0.3,2.96,0.06,Normal
S003,0.41,1.54,0.07,Normal
S004,0.5,1.58,0.07,Normal
S005,0.13,1.14,0.15,Normal
S006,0.48,2.12,0.17,Normal
S007,0.42,2.75,0.1,Normal
S008,0.45,2.36,0.16,Normal
S009,0.14,1.18,0.18,Normal
S010,0.12,2.19,0.09,Normal
S011,0.13,2.44,0.15,Normal
S012,0.22,1.15,0.07,Normal
S013,0.42,2.14,0.05,Normal
S014,0.11,1.86,0.05,Normal
S015,0.12,1.16,0.06,Normal
S016,0.5,2.95,0.08,Normal
S017,0.18,2.78,0.2,Normal
S018,0.42,2.72,0.13,Normal
S019,0.2,2.81,0.15,Normal
S020,0.33,2.94,0.19,Normal
S021,0.12,2.83,0.18,Normal
S022,0.17,2.52,0.2,Normal
S023,0.21,2.88,0.19,Normal
S024,0.35,2.05,0.19,Normal
S025,0.41,2.57,0.13,Normal
S026,0.16,2.95,0.06,Normal
S027,0.27,1.39,0.11,Normal
S028,0.14,2.92,0.06,Normal
S029,0.17,2.28,0.05,Normal
S030,0.44,2.54,0.19,Normal
S031,0.38,2.9,0.17,Normal
S032,0.18,1.42,0.12,Normal
S033,0.14,2.52,0.17,Normal
S034,0.49,2.27,0.08,Normal
S035,0.97,3.97,0.41,Warning
S036,0.6,4.83,0.38,Normal
S037,0.94,4.45,0.4,Warning
S038,0.45,1.54,0.09,Normal
S039,0.33,2.22,0.2,Normal
S040,0.3,1.39,0.19,Normal
S041,0.15,1.3,0.14,Normal
S042,0.39,2.82,0.12,Normal
S043,0.29,1.07,0.12,Normal
S044,0.36,1.78,0.16,Normal
S045,1.05,5.48,0.37,Warning
S046,1.0,11.81,0.61,Critical
S047,1.5,8.3,0.33,Critical
S048,1.61,7.68,0.49,Critical
S049,0.69,5.79,0.18,Warning
S050,0.41,2.55,0.11,Normal
S051,0.38,1.71,0.12,Normal
S052,0.17,2.47,0.19,Normal
S053,0.17,2.27,0.09,Normal
S054,0.31,2.92,0.18,Normal
S055,0.74,5.37,0.34,Warning
S056,1.52,10.88,0.44,Critical
S057,1.6,9.89,0.47,Critical
S058,1.22,9.48,0.44,Critical
S059,0.93,5.35,0.35,Warning
S060,0.42,1.67,0.12,Normal
S061,0.45,2.9,0.12,Normal
S062,0.33,1.91,0.14,Normal
S063,0.41,1.94,0.13,Normal
S064,0.2,1.32,0.11,Normal
S065,0.83,5.99,0.4,Warning
S066,1.67,10.2,0.35,Critical
S067,1.84,7.98,0.47,Critical
S068,1.75,9.18,0.44,Critical
S069,1.21,5.73,0.29,Critical
S070,0.18,2.17,0.13,Normal
S071,0.11,1.65,0.19,Normal
S072,0.5,2.53,0.1,Normal
S073,0.5,1.45,0.1,Normal
S074,0.49,1.19,0.16,Normal
S075,0.79,5.71,0.35,Warning
S076,0.81,5.85,0.4,Warning
S077,1.09,5.78,0.25,Warning
S078,0.43,1.66,0.13,Normal
S079,0.16,2.87,0.16,Normal
S080,0.27,1.95,0.2,Normal
S081,0.37,1.75,0.13,Normal
S082,0.41,2.78,0.12,Normal
S083,0.24,1.01,0.07,Normal
S084,0.28,2.47,0.13,Normal
S085,0.39,1.96,0.09,Normal
S086,0.47,2.14,0.06,Normal
S087,0.36,1.25,0.07,Normal
S088,0.43,1.61,0.19,Normal
S089,0.42,2.38,0.1,Normal
S090,0.3,2.14,0.06,Normal
S091,0.12,2.33,0.08,Normal
S092,0.23,2.77,0.18,Normal
S093,0.4,2.8,0.2,Normal
S094,0.17,2.7,0.14,Normal
S095,0.16,2.13,0.06,Normal
S096,0.11,2.87,0.13,Normal
S097,0.28,2.31,0.18,Normal
S098,0.13,1.86,0.05,Normal
S099,0.49,1.42,0.18,Normal
S100,0.38,2.63,0.18,Normal
